"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"SSTAF: Spatial-Spectral-Temporal Attention Fusion Transformer for Motor Imagery Classification","U. Maria Muna; M. Mehedi Hasan Shawon; M. Jobayer; S. Akter; S. Rahman Sabuj","Department of Electrical and Electronic Engineering, BRAC University, Dhaka, Bangladesh; Department of Electrical and Electronic Engineering, BRAC University, Dhaka, Bangladesh; Department of Electrical and Electronic Engineering, BRAC University, Dhaka, Bangladesh; Department of Electrical and Electronic Engineering, BRAC University, Dhaka, Bangladesh; Department of Electrical and Electronic Engineering, BRAC University, Dhaka, Bangladesh",IEEE Access,"16 Sep 2025","2025","13","","158855","158869","Brain–computer interfaces (BCI) in electroencephalography (EEG)-based motor imagery classification offer promising solutions in neurorehabilitation and assistive technologies by enabling communication between the brain and external devices. However, the non-stationary nature of EEG signals and significant inter-subject variability cause substantial challenges for developing robust cross-subject classification models. This paper introduces a novel Spatial-Spectral-Temporal Attention Fusion (SSTAF) Transformer specifically designed for upper-limb motor imagery classification. Our architecture consists of a spectral transformer and a spatial transformer, followed by a transformer block and a classifier network. Each module is integrated with attention mechanisms that dynamically attend to the most discriminative patterns across multiple domains, such as spectral frequencies, spatial electrode locations, and temporal dynamics. The short-time Fourier transform is incorporated to extract features in the time-frequency domain to make it easier for the model to obtain a better feature distinction. We evaluated our SSTAF Transformer model on two publicly available datasets, the EEGMMIDB dataset and BCI Competition IV-2a. SSTAF Transformer achieves an accuracy of 76. 83% and 68. 30% in the data sets, respectively, outperforms traditional CNN-based architectures and a few existing transformer-based approaches.","2169-3536","","10.1109/ACCESS.2025.3605265","Research Seed Grant Initiative-2024, BRAC University, Dhaka, Bangladesh; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11146742","Attention mechanisms;brain–computer interfaces;cross-subject;electroencephalography;motor imagery;neurorehabilitation;spectral-spatial-temporal features;transformer networks","Electroencephalography;Feature extraction;Transformers;Brain modeling;Motors;Convolution;Attention mechanisms;Convolutional neural networks;Training;Time-frequency analysis","","3","","49","CCBY","2 Sep 2025","2025","","IEEE","IEEE Journals"
"Enhanced Brain-Computer Interface for EEG Motor Imagery Using DC-GCN and Evolutionary Optimization","U. M. V; M. P. Kumar; A. Patil; V. V. S. Kumar; M. S. Prashanth; S. Kiran","Chaitanya Bharathi Institute of Technology, Hyderabad, India; PBR Visvodaya Institute of Technology and Science, Kavali, India; Koneru Lakshmaiah Education Foundation, Hyderabad, India; PBR Visvodaya Institute of Technology and Science, Kavali, India; Symbiosis Institute of Technology Hyderabad Campus, Symbiosis International University, Pune, India; Symbiosis Institute of Technology Hyderabad Campus, Symbiosis International University, Pune, India",2025 6th International Conference on Data Intelligence and Cognitive Informatics (ICDICI),"2 Sep 2025","2025","","","653","662","Brain-Computer Interface (BCI) systems rely heavily on decoding brain signals for a variety of applications, including motor imagery categorisation. By evading traditional neuromuscular routes, BCI systems enable direct brain-to-device communication. They use electroencephalogram (EEG) and other brain signal detection and interpretation tools to control computers, prosthetics, and other assistive technology. Brain-computer interfaces (BCIs) hold enormous potential for revolutionising neuro-rehabilitation, paralysis communication, and video games. Machine learning and signal processing are advancing at a rapid pace, becoming more accurate and useful. This study introduces a classification framework based on a Densely Connected Graph Convolutional Network (DC-GCN) optimised with Chaotic Sea-Horse Optimiser (CSHO) and BCI Competition IV Dataset 2b. First, EEG signals from C3, Cz, and C4 electrodes are pre-processed using bandpass filtering and Common Average Referencing. features are then extracted using Fast Fourier Transform (FFT). To make efficient use of DC-GCN for classification, extracted features are converted to a one-dimensional format. On average, proposed technique achieves a 92.53% F1-score, 93.29% recall, $\mathbf{9 2. 4 7 \%}$ accuracy, and $\mathbf{9 1. 2 9 \%}$ precision across all participants, indicating improved performance. DC-GCN + CSHO outperforms other classifiers, including 1D-CNN, RNN, LSTM, DBN, SVM, and ELM, across board. method's ability to capture complex spatial correlations in EEG signals is demonstrated by its higher accuracy than LSTM range of $\mathbf{9 1. 0 0 \%}$ and ELM as $\mathbf{a 8 9. 2 0 \%}$. This method is ideal for real-time BCI applications because it combines graph convolutional networks and evolutionary optimisation, increasing classification robustness. Future research aims to improve this model so that it can be used in assistive neuroprosthetics as well as tasks involving motor imagery across multiple classes. According to findings, DCGCN + CSHO is an excellent choice for next-generation BCI systems because it achieves ideal balance of precision and computing efficiency.","","979-8-3315-0313-0","10.1109/ICDICI66477.2025.11135301","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11135301","Brain-Computer Interface;Densely Connected Graph Convolutional Network;Chaotic Sea-Horse Optimizer;Motor Imagery;Feature Extraction;Fast Fourier Transform;Deep Learning","Accuracy;Fast Fourier transforms;Graph convolutional networks;Motors;Feature extraction;Brain modeling;Electroencephalography;Brain-computer interfaces;Real-time systems;Long short term memory","","","","29","IEEE","2 Sep 2025","9-11 July 2025","9-11 July 2025","IEEE","IEEE Conferences"
"EEG based BCI for Seemless Home Automation","H. J. P. K; K. A. Muhammed Fahim; S. K. B.; B. Sajeev; C. Parameswaran; B. M. C","Department of ECE, ASIET Kalady, Ernakulam, India; Department of ECE, ASIET Kalady, Ernakulam, India; Department of ECE, ASIET Kalady, Ernakulam, India; Department of ECE, ASIET Kalady, Ernakulam, India; Department of ECE, ASIET Kalady, Ernakulam, India; Department of ECE, ASIET Kalady, Ernakulam, India","2025 4th International Conference on Advances in Computing, Communication, Embedded and Secure Systems (ACCESS)","29 Aug 2025","2025","","","687","693","Brain–computer interface (BCI) facilitates direct interaction between the human brain and external devices. This research investigates a deep learning-based method for motor imagery classification from electroencephalography (EEG) signals. In contrast to existing works that utilize a greater number of electrodes, this research utilizes a smaller set of electrodes (Cz, C3, C4, F3, Fz, F4, P3, P4) to reduce hardware requirements while preserving classification accuracy. Signal preprocessing comprises a bandpass filter (8–30 Hz) that is realized by a Butterworth filter. Spectral transformation is carried out by continuous wavelet transform (CWT) with a complex Morlet wavelet. A convolutional neural network (CNN) is architected with three convolutional layers, batch normalization, and dropout regularization for avoiding overfitting. The model is trained with categorical cross-entropy loss with Adam optimization. Experimental results indicate that our approach attains competitive classification accuracy with lower computational complexity and hardware demands than current methods.","","979-8-3315-3623-7","10.1109/ACCESS65134.2025.11135623","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11135623","Brain Computer Interface;IOT;Automation;Deep learning;EEG;CNN;Biomedical","Electrodes;Continuous wavelet transforms;Accuracy;Motors;Electroencephalography;Hardware;Brain-computer interfaces;Robustness;Real-time systems;Convolutional neural networks","","","","22","IEEE","29 Aug 2025","11-13 June 2025","11-13 June 2025","IEEE","IEEE Conferences"
"Wavelet-enhanced temporal convolution and Transformer encoder for motor imagery EEG signal classification","J. Yang; J. Tong; S. Yang; Y. Chang; S. Du","Tianjin Key Laboratory for Control Theory & Applications in Complicated Systems and Intelligent Robot Laboratory, Tianjin University of Technology, Tianjin, China; Tianjin Key Laboratory for Control Theory & Applications in Complicated Systems and Intelligent Robot Laboratory, Tianjin University of Technology, Tianjin, China; Tianjin Key Laboratory for Control Theory & Applications in Complicated Systems and Intelligent Robot Laboratory, Tianjin University of Technology, Tianjin, China; National Clinical Research Center for Chinese Medicine Acupuncture and Moxibustion, Tianjin, China; Department of Electrical Engineering, Tshwane University of Technology, Pretoria, South Africa",2025 IEEE International Conference on Mechatronics and Automation (ICMA),"22 Aug 2025","2025","","","868","873","Convolutional Neural Networks (CNN) have become a research hotspot in motor imagery brain-computer interfaces, but their limited receptive field may be deficiencies in handling long-distance dependent information in EEG signals. In this study, we present EEGWaveformer, an innovative model based on deep learning, which incorporates the advantages of CNNs, Wavelet Convolution (WTConv), and Transformer encoders, aiming for efficient classification of EEG signals. The model extracts time-domain features through a multi-scale convolution module and further explores cross-channel information using a channel-wise convolution-based spatial feature extraction module. To capture long-range dependencies, the model uses Transformer encoders and attention mechanisms to enhance feature recognition. Finally, a convolutional encoder and a fully connected layer are used for feature integration and classification. Experimental results show that EEGWaveformer achieves average accuracies of 85.22%and 97.10%on the BCIC-IV-2a and HGD datasets, respectively, outperforming existing methods.","2152-744X","979-8-3315-1426-6","10.1109/ICMA65362.2025.11120710","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11120710","Brain-Computer Interface;Motor Imagery;Convolutional Neural Network;Wavelet Transform","Wavelet transforms;Convolution;Transformers;Feature extraction;Motors;Brain modeling;Electroencephalography;Brain-computer interfaces;Convolutional neural networks;Time-domain analysis","","","","27","IEEE","22 Aug 2025","3-6 Aug. 2025","3-6 Aug. 2025","IEEE","IEEE Conferences"
"Entropy and Energy Based Reconstruction of EEG Motor Imagery Signals with Tunable Q-Factor Wavelet Transform","B. Cansız; G. Serbes","Elektronik ve Haberle¸sme Mühendisliği, Yıldız Teknik Üniversitesi, İstanbul, Türkiye; Biyomedikal Mühendisliği, Yıldız Teknik Üniversitesi, ˙Istanbul, Türkiye",2025 33rd Signal Processing and Communications Applications Conference (SIU),"15 Aug 2025","2025","","","1","4","Brain-Computer Interface applications aim to bridge the gap between individuals with motor impairments and technological devices through mental activity. In line with this goal, motor imagery signals acquired via electroencephalogram devices, which offer high temporal resolution, have become one of the challenges addressed by these applications. In studies developed in the literature, these signals are typically used in their raw or denoised forms during the classification process. Despite existing performances, the pursuit of methods that can enhance classification accuracy in this field continues. Therefore, this study proposes the enhancement and resynthesis of subband signals obtained through the Tunable Q-Factor Wavelet Transform using a method referred to as the Information Coefficient. In classification tasks conducted following this enhancement, the signal obtained with parameters Q:3 and J:7 was observed to improve accuracy by 1.34%.","2165-0608","979-8-3315-6655-5","10.1109/SIU66497.2025.11112038","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11112038","EEG;Motor Imagery;Tunable Q-Factor Wavelet Transform;Entropy;Machine Learning","Wavelet transforms;Q-factor;Performance evaluation;Accuracy;Image resolution;Machine learning;Motors;Entropy;Electroencephalography;Signal resolution","","","","0","IEEE","15 Aug 2025","25-28 June 2025","25-28 June 2025","IEEE","IEEE Conferences"
"Analysing Enhanced EEG Based Brain Computer Interface for Motor Imagery Tasks Using Statistical Analysis","R. Sivasakthivel; M. Rajagopal; G. Ramar; R. Stephen; V. Sindhu; E. V. Fernandiz","Christ University, Bangalore, Karnataka, India; Christ University, Bangalore, Karnataka, India; Christ University, Bangalore, Karnataka, India; Christ University, Bangalore, Karnataka, India; Christ University, Bangalore, Karnataka, India; Christ University, Bangalore, Karnataka, India",2025 International Conference on Computing Technologies (ICOCT),"15 Aug 2025","2025","","","1","5","BCIs have emerged as a useful tool for helping people with neurological disorders like epilepsy, ALS, and cerebral palsy, who have severely limited communication, by analyzing EEG signals and turning them into actionable signals. This paper aims to investigate the application of BCIs in analyzing EEG signals and designing them to give meaningful signals to the users. Five healthy, right-handed university students (18–21 years) were selected for the study and were asked to spell the words mentally without vocalizing for four cognitive tasks; forward, stop, left, and right. At 100 Hz, EEG signals were sampled and pre-processed with a notch filter and feature extraction was done using DWT to extract important features and KNN was used for classification. All the subjects showed high accuracy with more than 90% and maximum accuracy of 95.89% was obtained by Subject S3. Standard deviations between 1.32 to 1.41, which indicate low variability in performance among all the subjects. These results showed that the DWT with KNN combination can be used for real-time BCI applications and can offer a reliable communication method for people with motor impairment and disabilities.","","979-8-3315-2794-5","10.1109/ICOCT64433.2025.11118933","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11118933","Brain-Computer Interface;Electroencephalogram;Discrete Wavelet Transform;k Nearest neighbour","Training;Accuracy;Transforms;Nearest neighbor methods;Feature extraction;Electroencephalography;Brain-computer interfaces;Real-time systems;Discrete wavelet transforms;Standards","","","","18","IEEE","15 Aug 2025","13-14 June 2025","13-14 June 2025","IEEE","IEEE Conferences"
"Improving EEG Signal Classification with Recurrent Neural Networks for Brain-Computer Interfaces","S. B. C; I. A. B. K; A. Mishra; A. Verma; A. K. Subudhi; M. Nagpal","Faculty of management studies, CMS Business School, Jain (Deemed to be University), Bangalore, Karnataka, India; Department of Electronics and Communication Engineering, Presidency University, Bangalore, Karnataka, India; Maharishi School of Engineering & Technology, Maharishi University of Information Technology, Uttar Pradesh, India; Centre of Research Impact and Outcome, Chitkara University, Rajpura, Punjab, India; Department of Electronics and Communication Engineering, Siksha ‘O’, Anusandhan (Deemed to be University), Bhubaneswar, Odisha, India; Chitkara Centre for Research and Development, Chitkara University, Baddi, Himachal Pradesh, India",2025 International Conference on Networks and Cryptology (NETCRYPT),"12 Aug 2025","2025","","","1080","1085","Brain-computer Interfaces can change the way humans interact with tech and their surroundings. This brainsensing technology allows control devices to interface with machines through thoughts naturally and even endows the most common person with superhuman capabilities. BCIs typically use electroencephalography signals interpreted to translate brain activity into commands for such devices: the low signal-to-noise ratio and high inter-subject variation. In the following section, we will introduce a new approach, Recurrent Neural Networks, to classifying EEG signals and discuss how this method helps alleviate some of the challenges traditional methods face. RNNs are quite efficient for sequence prediction tasks as they can capture the relationship between data sequences. We combine RNNs into the classification stage to ensure EEG signals are classified quickly and accurately in real time, enhancing BCI performance. We pre-process by applying a filter bank to the EEG signals and extracting features using a CNN. An RNN is then applied over these features, which learns the dependencies in time for a given EOS event (output). We suggest a transfer learning model with the only motivation of mitigating the disadvantage of needing plenty of training data for this model and making it more practical in real-world applications. The preliminary results indicate that our proposed method improves the classification accuracies on EEG signals compared to the traditional approaches with an average improved accuracy of $\times \times \%$. Our study results suggest that RNNs could serve as a reliable algorithm for performance enhancement, potentially improving user experience during BCI operation.","","979-8-3315-2605-4","10.1109/NETCRYPT65877.2025.11102287","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11102287","Computer;Performance;Applications;Enhancement;Potentially","Recurrent neural networks;Accuracy;Transfer learning;Brain modeling;Feature extraction;Electroencephalography;Data models;Brain-computer interfaces;User experience;Signal to noise ratio","","","","27","IEEE","12 Aug 2025","29-31 May 2025","29-31 May 2025","IEEE","IEEE Conferences"
"Common Spatial Pattern Variants for Feature Extraction in Multi-Class Motor Imagery BCI","F. Asadi; K. Thangthong; S. Tungjitkusolmun","Artificial Intelligence and Computer Engineering, CMKL University, Bangkok, Thailand; Artificial Intelligence and Computer Engineering, CMKL University, Bangkok, Thailand; School of Engineering, King Mongkut's Institute of Technology Ladkrabang, Bangkok, Thailand",2025 17th Biomedical Engineering International Conference (BMEiCON),"11 Aug 2025","2025","","","1","5","Brain-Computer Interfaces (BCIs) based on Motor Imagery (MI) offer intuitive control but face challenges due to noisy electroencephalography (EEG) signals that often contain artifacts, necessitating effective feature extraction. Common Spatial Pattern (CSP) is a standard technique, yet its limitations in multi-class MI scenarios motivate various extensions. This paper investigates the classification performance, computational cost, and the crucial performance versus cost trade-off inherent in practical BCI applications of five prominent CSP variants, including standard CSP, Regularized CSP (RCSP), Filter Bank CSP (FBCSP), Sparse CSP, and Kernel CSP, when applied to multi-class MI classification. Using the PhysioNet MI dataset, we employed a consistent preprocessing pipeline (18 sensorimotor channels, filtering, epoching) and evaluated each variant by feeding extracted features into a Support Vector Machine (SVM) classifier with an RBF kernel. The evaluation revealed that standard CSP and RCSP achieved the highest peak average accuracy (∼97.8%) with near-efficient computational cost. FBCSP yielded high accuracy (∼96.7%) but incurred the highest computational cost. Sparse CSP was computationally efficient but achieved lower peak accuracy (∼95.3%), while Kernel CSP showed the lowest peak accuracy (∼92.8%) at moderate cost. The findings highlight the performance profiles and efficiency of these CSP methods for this multi-class MI task, indicating that standard CSP and RCSP offer a particularly effective combination of high accuracy and manageable computational load under the evaluated conditions.","2473-7607","979-8-3315-1444-0","10.1109/BMEiCON66226.2025.11113663","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11113663","Brain-Computer Interface (BCI);Motor Imagery (MI);Electroencephalography (EEG);Common Spatial Pattern (CSP);Feature Extraction;Multi-class Classification;Support Vector Machine (SVM)","Support vector machines;Accuracy;Costs;Feature extraction;Motors;Electroencephalography;Brain-computer interfaces;Computational efficiency;Kernel;Standards","","","","21","IEEE","11 Aug 2025","15-18 July 2025","15-18 July 2025","IEEE","IEEE Conferences"
"Time-Domain Versus Frequency-Embedded EEG Sequences for Sensorimotor BCI Using 1D-CNN","S. Saha; M. Baumert; A. Mcewan","School of Biomedical Engineering, The University of Sydney, Sydney, Australia; School of Electrical and Mechanical Engineering, The University of Adelaide, Adelaide, Australia; School of Biomedical Engineering, The University of Sydney, Sydney, Australia",IEEE Access,"11 Aug 2025","2025","13","","137919","137930","This study proposed a motor imagery (MI) classification pipeline featuring a 1−dimensional convolutional neural network (1D-CNN) with different time/frequency feature representation techniques. The objective was to classify right hand (RH) versus right foot (RF) MI tasks in both intra- and inter-subject (pairwise and pooled) BCI settings using a 1D-CNN architecture trained on time-domain bandpass filtered electroencephalography (EEG) signals, frequency-embedded power spectral density (PSD) and cross-power spectral density (CPSD) sequences. The EEG signals were bandpass filtered with 4 Hz and 32 Hz cut-off frequencies, and PSD/CPSD sequences were estimated in the same frequency range. Thus, the number of input channels for 1D-CNN was N, N or  $N\times N$  for EEG signals, PSD or CPSD sequences. We used dataset IVa from BCI Competition III in 5−fold cross-validation settings to evaluate intra-subject, inter-subject (pairwise) and inter-subject (pooled) BCI classification accuracies. We compared the performance of the proposed methods with classification algorithms featuring common spatial patterns (CSP) for benchmarking. The best overall classification accuracies (%) for intra-subject, inter-subject (pairwise) and inter-subject (pooled) BCIs were  $86.57\pm 11.69$ ,  $70.80\pm 9.21$  and  $76.61\pm 12.37$  using 1D−CNN with time-domain EEG signals. The average classification accuracies using 1D-CNN with frequency-embedded PSD sequences were  $82.57\pm 10.20$ ,  $69.32\pm 7.46$  and  $71.32\pm 7.96$  for intra-subject, inter-subject (pairwise) and inter-subject (pooled) BCIs. The proposed time/frequency feature representation techniques with 1D-CNN outperformed CSP-based algorithms (p-value <0.05). The comparative results suggest the utility of the proposed methods for MI classification, especially for a fully zero-training inter-subject BCI.","2169-3536","","10.1109/ACCESS.2025.3595953","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11113278","Brain–computer interface;electroencephalography;motor imagery;power spectral density;1-dimensional convolutional neural network","Electroencephalography;Time-frequency analysis;Time-domain analysis;Convolutional neural networks;Motors;Fast Fourier transforms;Kernel;Principal component analysis;Classification algorithms;Band-pass filters","","1","","65","CCBY","5 Aug 2025","2025","","IEEE","IEEE Journals"
"A Comparative Analysis of Classifiers for Steady-State Visual Evoked Potential-Based BCIs","A. Jessa Grace; R. Kesavapriya; J. A. Visesha Krishnan; R. Gupta","Department of Biomedical Engineering, SRM Institute of Science and Technology, Kattankulathur, Chennai, Tamil Nadu, India; Department of Biomedical Engineering, SRM Institute of Science and Technology, Kattankulathur, Chennai, Tamil Nadu, India; Department of Biomedical Engineering, SRM Institute of Science and Technology, Kattankulathur, Chennai, Tamil Nadu, India; Department of Biomedical Engineering, SRM Institute of Science and Technology, Kattankulathur, Chennai, Tamil Nadu, India","2025 International Conference in Advances in Power, Signal, and Information Technology (APSIT)","24 Jul 2025","2025","","","1","6","Steady-state visual Evoked Potentials (SSVEPs) are widely used in Brain-Computer Interfaces (BCIs), but accurate frequency classification remains challenging due to inter-subject variability and complex signal patterns. This study aims to improve SSVEP frequency prediction by combining wavelet decomposition and testing it with several classification models - Support Vector Machines (SVM), k-nearest Neighbors (kNN), Decision Trees (DT), and Random Forest (RF). Using EEG data from 15 healthy subjects, we observe that accuracy is higher with fewer classes but decreases as the number of classes increases. Notably, SVM outperforms other models significantly, achieving an average accuracy of 92.5 % in higher-class configurations of 40 frequencies, while $\text{kNN}, \text{DT}$, and RF show substantially lower performance in similar setups. For 40-class configurations, SVM's accuracy increases from 41.3 % with one block of training data to 92.5 % with five blocks, underscoring that training data size boosts performance by over $5 0 \%$. Our findings provide valuable insights for developing more efficient and reliable BCI systems.","","979-8-3315-2989-5","10.1109/APSIT63993.2025.11086160","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11086160","SSVEP;Brain-Computer Interface;Wavelet Decomposition;Machine Learning;Support Vector Machine","Support vector machines;Radio frequency;Visualization;Accuracy;Training data;Brain modeling;Electroencephalography;Brain-computer interfaces;Steady-state;Reliability","","","","22","IEEE","24 Jul 2025","23-25 May 2025","23-25 May 2025","IEEE","IEEE Conferences"
"A Novel Hybrid Brain–Computer Interface Integrating Motor Imagery and Multiple Visual Stimuli","C. Zhang; G. Li; X. Wu; X. Gao","School of Computer Science and Technology, Anhui University, Hefei, China; School of Computer Science and Technology, Anhui University, Hefei, China; School of Computer Science and Technology, Anhui University, Hefei, China; School of Computer Science and Technology, Anhui University, Hefei, China",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"29 Jul 2025","2025","33","","2847","2857","Brain-Computer Interface (BCI) that integrate Motor Imagery (MI) with Steady-State Visual Evoked Potentials (SSVEP) or Overt Spatial Attention (OSA) have demonstrated superior performance compared to MI only BCI. Nonetheless, the exploration of BCI that combine MI with visual tasks remains limited, and the synchronization between MI and visual tasks is often weak. To address this gap, our study introduces a novel BCI paradigm that combines MI with two visual tasks: SSVEP and OSA. In this paradigm, dynamic images depicting left and right arm movements flash at distinct frequencies, serving as visual stimuli positioned on both sides of the screen. Four classification methods are used for testing. The MI+SSVEP+OSA paradigm achieves higher average accuracy than the MI, MI+SSVEP, and MI+OSA paradigms. This validates the effectiveness of our novel paradigm and confirms the feasibility of simultaneously integrating MI with two visual stimuli. Moreover, we observe that the integration of SSVEP offers significant improvements, especially for participants who exhibit limited performance in the MI only paradigm. Additionally, our results indicate comparable performance between the MI+SSVEP and MI+OSA paradigms. Overall, this study offers valuable insights that can guide future research in hybrid BCI development, paving the way for more efficient and user-friendly BCI.","1558-0210","","10.1109/TNSRE.2025.3591616","Collaborative Innovation Project of Key Laboratory of Philosophy and Social Sciences in Anhui Province(grant numbers:HZ2302); Scientific Research Project of Colleges and Universities in Anhui Province(grant numbers:2024AH040115); Anhui Province Science and Technology Innovation and Tackling Key Problems Project(grant numbers:202423k09020041); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11090001","Brain-computer interface;motor imagery;steady-state visual evoked potential;spatial attention","Visualization;Electroencephalography;Motors;Band-pass filters;Accuracy;Finite impulse response filters;Electrodes;Data collection;Brain-computer interfaces;Technological innovation","Brain-Computer Interfaces;Humans;Male;Imagination;Evoked Potentials, Visual;Electroencephalography;Adult;Female;Photic Stimulation;Young Adult;Algorithms;Movement;Attention;Reproducibility of Results;Psychomotor Performance;Arm","","","48","CCBY","22 Jul 2025","2025","","IEEE","IEEE Journals"
"Performance Enhancement of Steady-State Visual Evoked Field-Based Brain–Computer Interfaces Incorporating MEG Source Imaging","Y. -S. Kim; H. Han; C. -U. Kim; S. -I. Choi; M. -Y. Kim; C. -H. Im","Department of Artificial Intelligence, Hanyang University, Seoul, Republic of Korea; Department of Electronic Engineering, Hanyang University, Seoul, Republic of Korea; Department of Electronic Engineering, Hanyang University, Seoul, Republic of Korea; Medical Metrology Group, Division of Biomedical Metrology, Korea Research Institute of Standards and Science, Daejeon, Republic of Korea; Medical Metrology Group, Division of Biomedical Metrology, Korea Research Institute of Standards and Science, Daejeon, Republic of Korea; Department of Electronic Engineering, Hanyang University, Seoul, Republic of Korea",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"25 Jul 2025","2025","33","","2806","2813","Recent advancements in helmet-type magneto-encephalography (MEG) systems that operate without liquid helium, such as optically pumped magnetometer (OPM)-based MEG, have increased interest in MEG-based brain–computer interfaces (BCIs). Among various BCI paradigms, steady-state visual evoked field (SSVEF)-based BCIs have been actively studied owing to their high information transfer rate (ITR) and low demand for calibration sessions. Although MEG provides excellent spatial resolution and whole-head coverage, conventional algorithms such as the filter bank-driven multivariate synchronization index (FBMSI) do not fully exploit these advantages. To overcome this limitation, this study employed MEG source imaging to utilize information from whole-head MEG recordings fully and developed a novel weighting method called the averaged source location-based weighting (ASLW). ASLW leverages the averaged source locations of SSVEF signals to enhance BCI performance. Experimental results with 20 participants demonstrated that integrating ASLW with the FBMSI algorithm (ASLW-FBMSI) significantly improved both the classification accuracy and ITR across all tested window sizes. Notably, the largest performance gains included a 13.9% accuracy improvement at a 3-s window size and a 13.1 bits/min increase in ITR at a 2.5-s window size. Additionally, the ASLW-FBMSI algorithm exhibited a short processing delay of 0.107 s at a 4-s data length and was successfully validated in online BCI experiments with 20 participants. Although tested in SQUID-MEG in this study, our findings demonstrate the effectiveness of ASLW in significantly enhancing the overall performance of SSVEF-based BCIs.","1558-0210","","10.1109/TNSRE.2025.3590576","Challengeable Future Defense Technology Research and Development Program through the Agency For Defense Development (ADD) funded by the Defense Acquisition Program Administration (DAPA), in 2025(grant numbers:915061201); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11084979","Magnetoencephalography (MEG);steady-state visual-evoked field (SSVEF);brain–computer interface (BCI);source imaging","Visualization;Indexes;Classification algorithms;Magnetic resonance imaging;Electroencephalography;Spatial resolution;Steady-state;Interference;Magnetometers;Magnetic shielding","Brain-Computer Interfaces;Humans;Magnetoencephalography;Algorithms;Evoked Potentials, Visual;Male;Adult;Female;Young Adult;Electroencephalography;Reproducibility of Results;Brain","","","36","CCBYNCND","18 Jul 2025","2025","","IEEE","IEEE Journals"
"FT-DropBlock: A Novel Approach for Spatiotemporal Regularization in EEG-based Convolutional Neural Networks","P. S. Nzakuna; V. Paciello; V. Gallo; A. Lay-Ekuakille; A. K. Lusala","Industrial Engineering University of Salerno, Fisciano, Italy; Industrial Engineering University of Salerno, Fisciano, Italy; Industrial Engineering University of Salerno, Fisciano, Italy; Engineering for Innovation, University of Salento, Lecce, Italy; Electrical and Computer Engineering, University of Kinshasa, Kinshasa, Democratic Republic of the Congo",2025 IEEE International Instrumentation and Measurement Technology Conference (I2MTC),"18 Jul 2025","2025","","","1","6","The use of Deep Learning (DL) and digital signal processing in Brain-Computer Interfaces (BCIs) to improve the analysis of Electroencephalogram (EEG) data has shown promise, but overfltting of DL models remains a challenge, particularly in Convolutional Neural Networks (CNNs) designed for spatiotemporal data. This paper introduces Features-Time DropBlock (FT-DropBlock), a novel adaptation of DropBlock regularization tailored for EEG processing, targeting the spatiotemporal dimensions represented by features and time points to achieve structured regularization. Contiguous blocks of features and their associated time points are strategically dropped, promoting robust learning by encouraging spatiotemporal coherence and reducing overfitting. To our knowledge, at the time of writing, no previous use of DropBlock in EEG-based CNNs has been reported in the literature. Our approach is the first to use DropBlock to enforce structured regularization across features and time dimensions to preserve spatial consistency within feature maps and ensure temporal regularization. We tested our approach by replacing conventional Dropout with FTDropBlock at selected regularization stages in three EEG-based CNNs. Experimental results conducted on the publicly available BCI Competition IV 2a Dataset show that our approach demonstrates significant improvements over traditional Dropout regularization in classification accuracy and robustness against overfitting, highlighting the effectiveness of this targeted FT-DropBlock strategy for EEG-based CNNs.","2642-2077","979-8-3315-0500-4","10.1109/I2MTC62753.2025.11079124","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11079124","DropBlock;Regularization;Brain-Computer Interface, Electroencephalography, CNN.","Deep learning;Digital signal processing;Writing;Electroencephalography;Brain-computer interfaces;Robustness;Spatiotemporal phenomena;Convolutional neural networks;Instrumentation and measurement;Overfitting","","1","","12","IEEE","18 Jul 2025","19-22 May 2025","19-22 May 2025","IEEE","IEEE Conferences"
