Autores,Titulo,Ano de Publicacao,Fonte,Status,EEG,BCI,MI,Classification,Model/pipeline,Temporal_filter,Anotation
Muthong S.; Vateekul P.; Sriyudthsak M.,An adjustment strategy on multi-session EEG data for online left/right hand imagery classification,2016,Scopus,depende,passou,passou,passou,passou,passou,depende,"Aparenta de forma indireta apresentar filtros temporais como mostra em ""In our system, the features are extracted by applying the wavelet transformation, and Neural Network is chosen as our classifier. The experiment was conducted on the BCI IV data set and compared to four existing techniques: (i) non-normalized wavelet, (ii) Z-transform, (iii) CSP, and (iv) CSP with Morlet wavelet, in terms of accuracy"". Entretanto pode ser que o passo a passo em ""subtracting ""estimated mean"" and dividing ""estimated interquartile rage"" (IQR) or ""estimated standard deviation"" (SD), which are obtaining by using exponentially weighted moving average (EWMA)"", pode servir como um ""filtro temporal""."
Ganeshkumar M.; Ang K.K.; So R.Q.,Reject option to reduce false prediction rates for EEG-motor imagery based BCI,2017,Scopus,passou,passou,passou,passou,passou,passou,passou,"Tem nada a ver com filtro temporal, mas usa o FBCSP, logo possui dentro dele um filtro temporal"
Göksu F.; Ince N.F.; Tadipatri V.A.; Tewfik A.H.,Classification of EEG with structural feature dictionaries in a brain computer interface,2008,Scopus,depende,passou,passou,passou,passou,passou,depende,"O artigo fala ""structural feature dictionary and apply it to extract the spectro-temporal patterns of multichannel EEG recordings related to a motor imagery task. The construction of the feature dictionary based on undecimated wavelet packet transform is extended to block FFT"". Pode ser que FFT ou WPT são usados como filtro temporais."
Li B.; Yang B.; Guan C.; Hu C.,Three-class Motor Imagery Classification Based on FBCSP Combined with Voting Mechanism,2019,Scopus,passou,passou,passou,passou,passou,passou,passou,"Tem nada a ver, mas possui o FBCSP, logo tem filtro temporal"
Chaudhary P.; Agrawal R.,Sensory motor imagery EEG classification based on non-dyadic wavelets using dynamic weighted majority ensemble classification,2021,Scopus,passou,passou,passou,passou,passou,passou,passou,"Fala o seguinte ""The framework comprises the three phases as follows: (1) the EEG signal first decomposes into triadic frequency bands: low pass band, band pass filter and high pass filter to localize α, β and high γ frequency bands within the EEG signals"", logo tem filtro temporal."
Zhang H.; Chin Z.Y.; Ang K.K.; Guan C.; Wang C.,Optimum spatio-spectral filtering network for brain-computer interface,2011,Scopus,depende,passou,passou,passou,passou,passou,depende,"O artigo fala ""formulate the learning task for feature extraction as maximizing the mutual information between the spatio-spectral filtering parameters and the class labels. After introducing a nonparametric estimate of mutual information, a gradient-based learning algorithm is devised to efficiently optimize the spatial filters in conjunction with a band-pass filter"". Desta forma aparenta ter filtro temporal, mas vale a pena ter certeza."
Riascos-Salas J.A.; Villota H.; Molinas M.,Beyond Full Electrode Arrays: Optimizing Channel Selection for Motor Imagery BCIs via Individual Channel Classifiers and Ensembles,2026,Scopus,passou,passou,passou,passou,passou,passou,passou,"basicamente faz um estudo fora do nosso escopo, mas usa FBCSP, logo tem filtro temporal"
Aghaei A.S.; Mahanta M.S.; Plataniotis K.N.,Separable common spatio-spectral patterns for motor imagery BCI systems,2016,Scopus,depende,passou,passou,passou,passou,passou,depende,"Fala ""separable common spatio-spectral patterns (SCSSP), for extraction of discriminant spatio-spectral EEG features in MI-BCIs"" complementando com ""Assuming a binary classification problem, SCSSP uses a heteroscedastic matrix-variate Gaussian model for the multiband EEG rhythms, and seeks the spatio-spectral features whose variance is maximized for one brain task and minimized for the other task"". Basicamente fala que o ""SCSSP can be considered as a spatio-spectral generalization of the conventional common spatial patterns (CSP) algorithm"". Pode ser que tenha um filtro temporal novo, mas já que tem FBCSP comparando da pra considerar que tem filtro."
Hao Y.; Lu Q.; Cheng S.,Motor imagery classification method based on Riemannian Manifold and CNN-LSTM for advanced brain computer interfaces,2025,Scopus,passou,passou,passou,passou,passou,passou,passou,"O artigo fala ""The filter bank is used to overcome frequency band variations, and the Riemannian metric is used to reduce noise interference"". Ver se Riemann entra vai contar como filtro temporal também."
Rasheed S.; Mumtaz W.,Classification of Hand-Grasp Movements of Stroke Patients using EEG Data,2021,Scopus,passou,passou,passou,passou,passou,passou,passou,"O artigo "" compare classical signal processing techniques (wavelet transform and power spectral density) with motor imagery specific algorithms (Common Spatial Patterns and Filter Bank Common Spatial Patterns (FBCSP)) and a state-of-the-art deep neural network based EEGNet algorithm"". Logo tem filtro temporal. ver se PSD entra como filtro temporal também."
