Autores,Titulo,Ano de Publicacao,Fonte,status,anotation
Liu C.; Wang H.; Pu H.; Zhang Y.; Zou L.,EEG feature extraction and pattern recognition during right and left hands motor imagery in brain-computer interface,2012,Scopus,passou,DWT (wavelet) usado como filtro temporal.
López-Montes C.; Cárdenas-Peña D.; Castellanos-Dominguez G.,Supervised Relevance Analysis for Multiple Stein Kernels for Spatio-Spectral Component Selection in BCI Discrimination Tasks,2019,Scopus,passou,"Multiple Stein Kernels to simultaneously select channels and bands in a supervised criterion, so reducing the spatial and frequency dimension. Portanto, parece ter filtro temporal"
Tsui C.S.L.; Gan J.Q.; Roberts S.J.,A self-paced brain - Computer interface for controlling a robot simulator: An online event labelling paradigm and an extended Kalman filter based algorithm for online training,2009,Scopus,depende,Fora do escopo porem parece ter filtro temporal. Ler mais pra saber se descarta
Muthong S.; Vateekul P.; Sriyudthsak M.,An adjustment strategy on multi-session EEG data for online left/right hand imagery classification,2016,Scopus,depende,ver melhor se tem filtro temporal. Fala de coisas no modelo que TALVEZ se encaixem.
Ganeshkumar M.; Ang K.K.; So R.Q.,Reject option to reduce false prediction rates for EEG-motor imagery based BCI,2017,Scopus,passou,"Fala do FBCSP, logo tem filtro temporal"
Göksu F.; Ince N.F.; Tadipatri V.A.; Tewfik A.H.,Classification of EEG with structural feature dictionaries in a brain computer interface,2008,Scopus,passou,wavelet como filtro temporal
Li B.; Yang B.; Guan C.; Hu C.,Three-class Motor Imagery Classification Based on FBCSP Combined with Voting Mechanism,2019,Scopus,passou,usa FBCSP logo tem filtro temporal
Chaudhary P.; Agrawal R.,Sensory motor imagery EEG classification based on non-dyadic wavelets using dynamic weighted majority ensemble classification,2021,Scopus,passou,"usa filtro temporal: low pass band, band pass filter and high pass filter"
Zhang H.; Chin Z.Y.; Ang K.K.; Guan C.; Wang C.,Optimum spatio-spectral filtering network for brain-computer interface,2011,Scopus,passou,Aparenta ter filtro temporal band-pass filter
Riascos-Salas J.A.; Villota H.; Molinas M.,Beyond Full Electrode Arrays: Optimizing Channel Selection for Motor Imagery BCIs via Individual Channel Classifiers and Ensembles,2026,Scopus,passou,"tem FBCSP, logo tem filtro temporal"
Aghaei A.S.; Mahanta M.S.; Plataniotis K.N.,Separable common spatio-spectral patterns for motor imagery BCI systems,2016,Scopus,passou,"tem FBCSP na comparação, logo tem filtro temporal"
Hao Y.; Lu Q.; Cheng S.,Motor imagery classification method based on Riemannian Manifold and CNN-LSTM for advanced brain computer interfaces,2025,Scopus,passou,"usa filterbank e parece que usa Riemannian metric is used to reduce noise interference. Logo, parece possuir filtro temporal"
Rasheed S.; Mumtaz W.,Classification of Hand-Grasp Movements of Stroke Patients using EEG Data,2021,Scopus,passou,Tem FBCSP e parece ter outros metodos dentro. Pode ter outros filtros temporais alem do filterbank
Yamaguchi T.; Fujio M.; Inoue K.,Design method of morphological structuring function for pattern recognition of EEG signals during motor imagery and cognition,2011,Scopus,depende,features are extracted by using linear method such as FIR filter and wavelet transform. Porem pode ser que são na realidade temporal filters
