Titulo,Autores,Ano de Publicacao,Fonte
K-Medoids-based ICA and Wavelet-Enhanced Multi-resolution Convolutional Network for Motor Imagery EEG,P. Sun; J. Zhou,2025,IEEE
ESSDM: An Enhanced Sparse Swarm Decomposition Method and Its Application in Multi-Class Motor Imagery-Based EEG-BCI System,S. V. Bhalerao; R. B. Pachori,2025,IEEE
TriNet: A Hybrid Feature Integration Approach for Motor Imagery Classification in Brain-Computer Interface,H. F. Abbasi; M. Ahmed Abbasi; S. Jianbo; X. Liping; X. Yu,2025,IEEE
"Motor Imagery–Based Brain–Computer Interfaces: Challenges, Methods, and Future Directions",Z. Shuqfa; A. Lakas,2025,IEEE
Explainable Common Spatial Pattern to Improve the Design of Brain-Computer Interfaces,S. Gannouni; K. Belwafi,2025,IEEE
An Adaptive Convolutional Neural Network With Spatio-Temporal Attention and Dynamic Pathways (ACNN-STADP) for Robust EEG-Based Motor Imagery Classification,A. Raza; M. Z. Yusoff,2025,IEEE
A Study on the Classification Method of Motor Imagery EEG Signals Based on Band Filter Bank Common Space Pattern and Continuous Wavelet Transforms,Q. Cui; X. Zhang; K. Xu; S. Wang,2025,IEEE
EEG Processing for Brain-Computer Interface using Wavelet-Decomposition Ant Colony Optimization and Machine Learning,S. M. Qaisar; M. Nadeem; A. Eleyan; S. Oueida,2025,IEEE
Monte Carlo-Based Strategy for Assessing the Impact of EEG Data Uncertainty on Confidence in Convolutional Neural Network Classification,P. Sedi Nzakuna; V. Gallo; V. Paciello; A. Lay-Ekuakille; A. Kuti Lusala,2025,IEEE
BCI based EEG Signals classification using Machine Learning Approach,Y. Narayan; D. Gautam; D. Lakhwani; R. Kakkar,2025,IEEE
"SMANet: A Model Combining SincNet, Multi-Branch Spatial—Temporal CNN, and Attention Mechanism for Motor Imagery BCI",D. Wang; Q. Wei,2025,IEEE
Non-Invasive EEG-Driven Brain-Computer Interface for Motion Control of Assistive Robotics,S. E. Fatima; S. A. Rahman; W. Mumtaz; M. S. Nazeer,2025,IEEE
MDRNet: Multi-Branch with Different Feature Representations Network for Motor Imagery Classification,Q. Zhou; Y. Zhao; S. Zhang; J. Song; Q. Du; L. Ke,2025,IEEE
AWKNet: A Lightweight Neural Network for Motor Imagery Electroencephalogram Classification Based on Adaptive Wavelet Transform Kolmogorov-Arnold,Y. Song; H. Zhang; J. Man; X. Jin; Q. Li,2025,IEEE
Spatiotemporal Filtering Bank for Decoding Motor Imagery EEG Signals,L. Hu; G. Huang,2024,IEEE
SKSP: Selected Kernel Spatial Pattern Analysis in Euclidean and Hilbert Space for Decoding Motor Imagery,Z. Zhibin; J. Niu; L. Ren; Z. Ouyang; S. Mo,2024,IEEE
Enhancing Four-Class Motor Imagery Detection Through Advanced Feature Extraction Techniques,J. Souissi; S. Karmani; K. Belwafi; R. Djemal,2024,IEEE
A Classification and Recognition Method for Motor Imagery EEG Signals Using Fusion of DRSN and WPD,Q. Li; Y. Zhao,2024,IEEE
Enhancement Effect of ERD Activation Based on Multi-limb Cooperation Motor Imagery Compared with Inherent Limbs,W. Wu; Y. Liu; Z. Wang; S. Huang; G. Wang; D. Ming,2024,IEEE
Brain Computer Interfaces for Enhancing Motor Imagery Classification Using EEG Signal,R. S. Lalawat; V. Bajaj; P. K. Padhy,2024,IEEE
A Novel Motor Imagery Decoding Method Based on MODWT and Light-Weight CNN,W. Duan; T. Huang; J. Liu,2024,IEEE
Motor Imagery Classification in EEG signals using Hybrid CNN-ISqueeze net,S. K. Mandal; A. K. Jena,2024,IEEE
A Novel Classification Model Based on DWT and CNN-LSTM Motor EEG Imagination Signals,Y. Yang; Z. Chen; W. Li; Y. Ma,2024,IEEE
A Lightweight End-to-End Three-domain Feature Fusion Network for Motor Imagery Decoding,N. Cao; X. Wen; Y. Hao; R. Cao; C. Gao; R. Cao,2024,IEEE
Classifying EEG-Based Motor Imagery for Drone Control Using Artificial Neural Network,T. Sumardi; A. Afriyanti; M. A. Suhendra; S. Ajidarmo; M. I. Basri; M. F. Amri,2024,IEEE
Evaluation of EEG and MEG responses during Fine Motor Imagery from the same limb,R. Jiang; S. Qiu; Y. Wang; C. Zhang; H. He,2024,IEEE
Benchmarking motor imagery algorithms for pediatric users of brain-computer interfaces,B. Irvine; H. Abou-Zeid; A. Kirton; E. Kinney-Lang,2024,IEEE
Enhanced BCI Performance using Diffusion Model for EEG Generation,Y. Zhong; L. Yao; Y. Wang,2024,IEEE
Baseline-Guided Representation Learning for Noise-Robust EEG Signal Classification,E. Y. Lim; K. Yin; H. -B. Shin; S. -W. Lee,2024,IEEE
Motor Imagery Recognition Using Filter Bank Common Spatial Pattern and Recurrent Neural Networks,A. M. Kristanto; E. C. Djamal; R. Ilyas,2024,IEEE
TMAnet: An Innovative Approach for Classifying Motor Imagery EEG Signals Related to Motor Movements,C. Wang; Y. Lou; H. Peng; X. Xiong; X. Gu; J. Yang,2024,IEEE
Distinguishing Resting State From Motor Imagery Swallowing Using EEG and Deep Learning Models,S. G. Aslan; B. Yilmaz,2024,IEEE
Motor-Related EEG Analysis Using a Pole Tracking Approach,K. Kostoglou; G. R. Müller-Putz,2024,IEEE
Self-Paced Brain-Computer Interface on Sensorimotor Rhythms for Controlling Virtual Objects,A. D. Athapattu; P. S. B. Dassanayake; G. S. C. Nanayakkara; S. N. Liyanage; G. A. I. Devindi; R. Ragel; T. Dissanayake; I. Nawinne,2024,IEEE
A Subject-Specific Time Window Selection Method for Motor Imagery BCI,Y. Zhang; W. Zhao,2024,IEEE
A Hierarchical Intelligent Rehabilitation Robotic System Based on MI-EEG,Y. Qiao; R. Shi; F. Guo; B. Zhao; W. Li; Z. Liu; F. Duan,2024,IEEE
Short-Term Fourier Transform as Preprocessing for Common Spatial Pattern,A. B. Lana Maciel Moreira Armond; G. H. de Souza; D. E. Dos Santos; H. S. Bernardino,2024,IEEE
Quantifying Spatial Domain Explanations in BCI using Earth Mover’s Distance,P. Rajpura; H. Cecotti; Y. K. Meena,2024,IEEE
Simultaneous EEG-fNIRS Data Classification Through Selective Channel Representation and Spectrogram Imaging,C. Bunterngchit; J. Wang; Z. -G. Hou,2024,IEEE
Acceleration of EEG Signal Processing on FPGA: A Step Towards Embedded BCI,S. Kundu; P. Saha; A. S. Tomar; A. Chowdhury,2024,IEEE
EEG Motor Imagery Classification using Integrated Transformer-CNN for Assistive Technology Control,S. Zare; Y. Sun,2024,IEEE
Deep Neural Network-Based Empirical Mode Decomposition for Motor Imagery EEG Classification,H. Yu; S. Baek; J. Lee; I. Sohn; B. Hwang; C. Park,2024,IEEE
SVM for Classification of Ten-Finger Imagined Movements using tEEG Signals,R. D. L. Barbosa; K. Adhikari; W. G. Besio,2024,IEEE
Classification of Motor Imagery EEG Signals Using Deep Learning,B. Rahma; R. Aicha; M. Kamel,2024,IEEE
Classification Algorithm for Motor Imagery EEG Signals Based on Multi-Domain Information CNN,G. Xu; Y. Ren; J. Jiang; F. Yao; J. Cao,2024,IEEE
Time-Frequency-Space EEG Decoding Model Based on Dense Graph Convolutional Network for Stroke,J. Leng; H. Li; W. Shi; L. Gao; C. Lv; C. Wang; F. Xu; Y. Zhang; T. -P. Jung,2024,IEEE
Motor Imagery Classification Using Single Channel of EEG in Online Brain-Computer Interface,M. Taghizadeh; A. Chalechale,2024,IEEE
iTa-DFiE: An Innovative Tensor Algebra-Based Detection Framework for Incomplete Noninvasive Electroencephalography,N. Anh Thi Nguyen; Q. -B. Tao; H. -J. Yang; H. Trung Huynh; N. Tran Quoc Vinh; D. Khanh Ninh,2024,IEEE
Advancements in Temporal Fusion: A New Horizon for EEG-Based Motor Imagery Classification,S. Kundu; A. S. Tomar; A. Chowdhury; G. Thakur; A. Tomar,2024,IEEE
Channel-optimized Local Region Riemannian Approach for Motor Imagery Classification,J. Shin; W. Chung,2024,IEEE
Classification of Left/Right Hand Movement from EEG Signal by Empirical Mode Decomposition with Ensemble of classifiers,N. Choudhary; K. M. Kumar; J. Mathew; S. Acchugatla,2024,IEEE
